ticket_id,created_date,channel,category,priority,agent,team,first_response_minutes,resolution_hours,status,resolved_date,csat_score,region,country,response_sla_met,resolution_sla_met,month,week,day_of_week,hour_of_day
TKT-000035,2024-05-28 04:00:00,Email,Booking Modification,Medium,Agent_023,Team_Delta,14.255157586949181,54.11430437531946,In Progress,,,APAC,Singapore,True,False,2024-05,2024-05-27/2024-06-02,Tuesday,4
TKT-000036,2024-06-11 02:00:00,Email,Refund Request,Low,Agent_018,Team_Gamma,210.62644061082761,158.45607598548509,Resolved,2024-06-17 16:27:21.873548,4.0,APAC,Thailand,False,False,2024-06,2024-06-10/2024-06-16,Tuesday,2
TKT-000037,2024-08-12 17:00:00,Chat,Payment Issue,Medium,Agent_014,Team_Alpha,9.31869830179739,27.328484872602914,Resolved,2024-08-13 20:19:42.545541,3.0,EMEA,UAE,True,False,2024-08,2024-08-12/2024-08-18,Monday,17
TKT-000038,2024-12-17 09:00:00,Phone,Payment Issue,Low,Agent_024,Team_Beta,53.67847717003511,20.578291414258103,Resolved,2024-12-18 05:34:41.849091,2.0,EMEA,UK,False,True,2024-12,2024-12-16/2024-12-22,Tuesday,9
TKT-000039,2024-11-09 01:00:00,Email,Cancellation Request,Medium,Agent_019,Team_Alpha,36.48742018856745,21.526215205623668,Resolved,2024-11-09 22:31:34.374740,1.0,APAC,India,False,True,2024-11,2024-11-04/2024-11-10,Saturday,1
TKT-000040,2024-04-18 20:00:00,Chat,Cancellation Request,Low,Agent_022,Team_Alpha,242.27935784557204,39.17699256378669,Resolved,2024-04-20 11:10:37.173230,5.0,Americas,Canada,False,False,2024-04,2024-04-15/2024-04-21,Thursday,20
TKT-000041,2024-10-20 09:00:00,Email,Payment Issue,High,Agent_007,Team_Beta,8.133479585605453,2.2703387073589822,Resolved,2024-10-20 11:16:13.219346,4.0,Americas,USA,True,True,2024-10,2024-10-14/2024-10-20,Sunday,9
TKT-000042,2024-09-16 19:00:00,Self-Service,Payment Issue,High,Agent_006,Team_Beta,7.627448956852854,8.3173226282047,Resolved,2024-09-17 03:19:02.361462,4.0,EMEA,France,True,True,2024-09,2024-09-16/2024-09-22,Monday,19
TKT-000043,2024-08-16 14:00:00,Email,Booking Modification,Low,Agent_005,Team_Beta,103.96797743155835,76.60796151942955,Resolved,2024-08-19 18:36:28.661470,3.0,APAC,Thailand,False,False,2024-08,2024-08-12/2024-08-18,Friday,14
TKT-000044,2024-10-22 19:00:00,Social Media,Technical Issue,Low,Agent_004,Team_Gamma,45.697748137432306,78.7415098029274,Resolved,2024-10-26 01:44:29.435291,2.0,APAC,Australia,False,False,2024-10,2024-10-21/2024-10-27,Tuesday,19
TKT-000045,2024-02-02 07:00:00,Chat,Refund Request,Medium,Agent_018,Team_Alpha,55.576240235873136,2.2159436298277075,In Progress,,,APAC,Thailand,False,True,2024-02,2024-01-29/2024-02-04,Friday,7
TKT-000046,2024-12-08 18:00:00,Chat,Cancellation Request,Low,Agent_025,Team_Delta,34.31338038515536,10.540990215396125,In Progress,,,EMEA,UAE,False,True,2024-12,2024-12-02/2024-12-08,Sunday,18
TKT-000047,2024-05-11 08:00:00,Chat,Technical Issue,Low,Agent_014,Team_Alpha,207.92561847528395,52.95807884879724,In Progress,,,APAC,India,False,False,2024-05,2024-05-06/2024-05-12,Saturday,8
TKT-000048,2024-03-07 01:00:00,Email,Technical Issue,Low,Agent_016,Team_Delta,38.152776751086016,94.31583294561128,Resolved,2024-03-10 23:18:56.998604,2.0,APAC,Japan,False,False,2024-03,2024-03-04/2024-03-10,Thursday,1
TKT-000049,2024-06-13 07:00:00,Chat,Booking Modification,High,Agent_023,Team_Alpha,73.8006024207403,4.4190479013883275,Resolved,2024-06-13 11:25:08.572445,5.0,EMEA,UAE,False,True,2024-06,2024-06-10/2024-06-16,Thursday,7
TKT-000050,2024-11-10 19:00:00,Chat,General Inquiry,High,Agent_023,Team_Alpha,5.707105831468621,7.376270226913839,In Progress,,,Americas,Brazil,True,True,2024-11,2024-11-04/2024-11-10,Sunday,19
TKT-000051,2024-05-08 01:00:00,Social Media,Refund Request,Medium,Agent_020,Team_Gamma,94.97380023350972,0.7666990011195391,Resolved,2024-05-08 01:46:00.116404,4.0,EMEA,UAE,False,True,2024-05,2024-05-06/2024-05-12,Wednesday,1
TKT-000052,2024-02-12 13:00:00,Phone,Payment Issue,Medium,Agent_014,Team_Delta,22.78928528417593,33.75243055846213,Resolved,2024-02-13 22:45:08.750010,3.0,Americas,USA,True,False,2024-02,2024-02-12/2024-02-18,Monday,13
TKT-000053,2024-06-09 03:00:00,Phone,Booking Modification,High,Agent_005,Team_Beta,4.2365347261277435,19.60668622269722,Resolved,2024-06-09 22:36:24.070402,2.0,Americas,Canada,True,True,2024-06,2024-06-03/2024-06-09,Sunday,3
TKT-000054,2024-11-28 21:00:00,Chat,Booking Modification,High,Agent_022,Team_Beta,3.845915183192335,6.490789566733045,Resolved,2024-11-29 03:29:26.842440,4.0,APAC,Thailand,True,True,2024-11,2024-11-25/2024-12-01,Thursday,21
TKT-000055,2024-10-13 09:00:00,Chat,Booking Modification,Critical,Agent_011,Team_Gamma,9.491980054967735,5.109175085537441,In Progress,,,EMEA,Germany,True,True,2024-10,2024-10-07/2024-10-13,Sunday,9
TKT-000056,2024-08-24 11:00:00,Chat,Technical Issue,Low,Agent_012,Team_Beta,44.31096555818617,40.06716182630125,Escalated,,,APAC,Japan,False,False,2024-08,2024-08-19/2024-08-25,Saturday,11
TKT-000057,2024-01-07 17:00:00,Phone,Cancellation Request,Low,Agent_018,Team_Alpha,49.600866192441764,88.98838706600756,Resolved,2024-01-11 09:59:18.193438,2.0,APAC,India,False,False,2024-01,2024-01-01/2024-01-07,Sunday,17
TKT-000058,2024-06-28 01:00:00,Social Media,Refund Request,Medium,Agent_004,Team_Gamma,9.872636278526484,4.772685700361445,In Progress,,,APAC,Japan,True,True,2024-06,2024-06-24/2024-06-30,Friday,1
TKT-000059,2024-02-11 11:00:00,Email,Technical Issue,Medium,Agent_013,Team_Delta,146.36495673101385,3.1640089531272655,Resolved,2024-02-11 14:09:50.432231,1.0,APAC,Thailand,False,True,2024-02,2024-02-05/2024-02-11,Sunday,11
TKT-000060,2024-11-13 21:00:00,Chat,Property Question,Low,Agent_020,Team_Gamma,33.68381228487146,6.145784421769779,Resolved,2024-11-14 03:08:44.823918,2.0,Americas,Canada,False,True,2024-11,2024-11-11/2024-11-17,Wednesday,21
TKT-000061,2024-02-12 08:00:00,Email,Technical Issue,Low,Agent_013,Team_Alpha,34.11352322693522,32.212383043020594,Escalated,,,Americas,Brazil,False,False,2024-02,2024-02-12/2024-02-18,Monday,8
TKT-000062,2024-11-23 21:00:00,Chat,Booking Modification,High,Agent_004,Team_Gamma,43.208727904386606,2.405226110237272,In Progress,,,APAC,Australia,False,True,2024-11,2024-11-18/2024-11-24,Saturday,21
TKT-000063,2024-09-25 07:00:00,Email,Payment Issue,High,Agent_023,Team_Alpha,34.674214255176906,11.430560067158849,Resolved,2024-09-25 18:25:50.016242,2.0,APAC,Australia,False,True,2024-09,2024-09-23/2024-09-29,Wednesday,7
TKT-000064,2024-11-24 20:00:00,Email,Property Question,Low,Agent_023,Team_Gamma,34.34771640602398,111.7993961503463,In Progress,,,APAC,Australia,False,False,2024-11,2024-11-18/2024-11-24,Sunday,20
TKT-000065,2024-10-12 23:00:00,Phone,Booking Modification,High,Agent_007,Team_Delta,30.006746183068394,5.795641140818522,Resolved,2024-10-13 04:47:44.308107,4.0,EMEA,UAE,False,True,2024-10,2024-10-07/2024-10-13,Saturday,23
TKT-000066,2024-11-25 20:00:00,Chat,Booking Modification,Medium,Agent_023,Team_Delta,12.935087295445253,5.755070617263197,Resolved,2024-11-26 01:45:18.254222,2.0,APAC,Singapore,True,True,2024-11,2024-11-25/2024-12-01,Monday,20
TKT-000067,2024-12-21 09:00:00,Chat,Refund Request,High,Agent_002,Team_Beta,1.3236865939179732,24.04679252580571,Escalated,,,EMEA,UAE,True,False,2024-12,2024-12-16/2024-12-22,Saturday,9
TKT-000068,2024-02-06 14:00:00,Self-Service,Technical Issue,Medium,Agent_021,Team_Alpha,77.25635716008996,18.01137814457181,In Progress,,,APAC,India,False,True,2024-02,2024-02-05/2024-02-11,Tuesday,14
TKT-000069,2024-07-22 15:00:00,Chat,Payment Issue,Low,Agent_018,Team_Beta,177.17683452275466,91.63952939734921,Resolved,2024-07-26 10:38:22.305830,2.0,APAC,India,False,False,2024-07,2024-07-22/2024-07-28,Monday,15
TKT-000070,2024-07-21 11:00:00,Chat,Technical Issue,Medium,Agent_021,Team_Gamma,15.70884389066243,53.085219834832714,Resolved,2024-07-23 16:05:06.791405,1.0,EMEA,UAE,True,False,2024-07,2024-07-15/2024-07-21,Sunday,11
TKT-000071,2024-09-20 19:00:00,Chat,Refund Request,Medium,Agent_006,Team_Gamma,4.250853991789192,165.18611041907803,Resolved,2024-09-27 16:11:09.997509,2.0,Americas,Canada,True,False,2024-09,2024-09-16/2024-09-22,Friday,19
TKT-000072,2024-12-23 03:00:00,Chat,Payment Issue,Medium,Agent_016,Team_Gamma,10.405112480502552,25.39257198467834,In Progress,,,Americas,Brazil,True,False,2024-12,2024-12-23/2024-12-29,Monday,3
TKT-000073,2024-12-27 20:00:00,Email,Booking Modification,Low,Agent_003,Team_Gamma,176.9136408566402,79.22815776624454,In Progress,,,EMEA,UAE,False,False,2024-12,2024-12-23/2024-12-29,Friday,20
TKT-000074,2024-10-27 08:00:00,Phone,Account Access,Critical,Agent_022,Team_Delta,16.726138820980566,1.6734211791884182,In Progress,,,APAC,Thailand,True,True,2024-10,2024-10-21/2024-10-27,Sunday,8
TKT-000075,2024-08-07 20:00:00,Chat,Payment Issue,Low,Agent_015,Team_Gamma,35.97089395607304,47.98192083562905,Resolved,2024-08-09 19:58:54.915008,2.0,EMEA,UAE,False,False,2024-08,2024-08-05/2024-08-11,Wednesday,20
TKT-000076,2024-03-26 22:00:00,Email,Booking Modification,Low,Agent_021,Team_Delta,204.62059051138755,37.03527978098784,In Progress,,,Americas,Brazil,False,False,2024-03,2024-03-25/2024-03-31,Tuesday,22
TKT-000077,2024-01-03 16:00:00,Phone,Cancellation Request,Medium,Agent_020,Team_Beta,11.640757559995992,15.892369777867748,In Progress,,,APAC,Australia,True,True,2024-01,2024-01-01/2024-01-07,Wednesday,16
TKT-000078,2024-11-29 14:00:00,Email,Refund Request,Medium,Agent_010,Team_Delta,51.21838290210349,19.674049212023764,Resolved,2024-11-30 09:40:26.577163,4.0,Americas,USA,False,True,2024-11,2024-11-25/2024-12-01,Friday,14
TKT-000079,2024-04-17 00:00:00,Social Media,Payment Issue,Medium,Agent_009,Team_Delta,3.9292661823957435,46.30834562728371,In Progress,,,APAC,Australia,True,False,2024-04,2024-04-15/2024-04-21,Wednesday,0
TKT-000080,2024-08-15 15:00:00,Social Media,Payment Issue,High,Agent_011,Team_Alpha,13.202840986237913,2.585249283958138,Resolved,2024-08-15 17:35:06.897422,3.0,EMEA,Germany,True,True,2024-08,2024-08-12/2024-08-18,Thursday,15
TKT-000081,2024-03-25 11:00:00,Chat,Payment Issue,Medium,Agent_014,Team_Gamma,14.112072992448498,34.49183834448735,In Progress,,,APAC,Thailand,True,False,2024-03,2024-03-25/2024-03-31,Monday,11
TKT-000082,2024-04-22 07:00:00,Phone,General Inquiry,Medium,Agent_024,Team_Gamma,117.07247591086762,29.95522366593216,In Progress,,,EMEA,UK,False,False,2024-04,2024-04-22/2024-04-28,Monday,7
TKT-000083,2024-08-07 02:00:00,Email,Booking Modification,Medium,Agent_012,Team_Gamma,15.396277932420562,53.435170935666406,In Progress,,,APAC,India,True,False,2024-08,2024-08-05/2024-08-11,Wednesday,2
TKT-000084,2024-08-22 02:00:00,Self-Service,Property Question,Low,Agent_007,Team_Beta,60.98761836239696,19.357594251771257,Resolved,2024-08-22 21:21:27.339306,1.0,APAC,Singapore,False,True,2024-08,2024-08-19/2024-08-25,Thursday,2
TKT-000085,2024-10-07 16:00:00,Email,Account Access,Medium,Agent_011,Team_Gamma,82.6575723760347,47.28963239179687,Resolved,2024-10-09 15:17:22.676610,2.0,EMEA,UAE,False,False,2024-10,2024-10-07/2024-10-13,Monday,16
TKT-000086,2024-01-17 07:00:00,Self-Service,Booking Modification,High,Agent_017,Team_Gamma,8.651131942907599,17.434381085142626,In Progress,,,APAC,India,True,True,2024-01,2024-01-15/2024-01-21,Wednesday,7
TKT-000087,2024-09-02 12:00:00,Phone,General Inquiry,Low,Agent_025,Team_Gamma,32.68198590599688,50.21068958236593,Resolved,2024-09-04 14:12:38.482497,3.0,Americas,Canada,False,False,2024-09,2024-09-02/2024-09-08,Monday,12
TKT-000088,2024-05-28 09:00:00,Chat,Account Access,Medium,Agent_009,Team_Alpha,35.687946031514045,35.42222231186712,Resolved,2024-05-29 20:25:20.000323,4.0,APAC,Singapore,False,False,2024-05,2024-05-27/2024-06-02,Tuesday,9
TKT-000089,2024-09-14 16:00:00,Email,Refund Request,High,Agent_022,Team_Delta,27.48789657111956,4.683444728672375,Resolved,2024-09-14 20:41:00.401023,1.0,Americas,USA,True,True,2024-09,2024-09-09/2024-09-15,Saturday,16
TKT-000090,2024-05-09 03:00:00,Self-Service,Payment Issue,Low,Agent_023,Team_Alpha,68.1251127614948,218.83532405780474,Resolved,2024-05-18 05:50:07.166608,4.0,APAC,India,False,False,2024-05,2024-05-06/2024-05-12,Thursday,3
TKT-000091,2024-09-18 14:00:00,Social Media,Property Question,Medium,Agent_013,Team_Gamma,6.416446213708575,26.670636184764913,In Progress,,,EMEA,UAE,True,False,2024-09,2024-09-16/2024-09-22,Wednesday,14
TKT-000092,2024-12-15 16:00:00,Chat,Refund Request,Critical,Agent_016,Team_Delta,2.4151356452099866,1.1138728982531128,Resolved,2024-12-15 17:06:49.942434,3.0,Americas,Canada,True,True,2024-12,2024-12-09/2024-12-15,Sunday,16
TKT-000093,2024-05-09 08:00:00,Phone,General Inquiry,Low,Agent_003,Team_Alpha,370.73958922961543,24.861754087557273,Resolved,2024-05-10 08:51:42.314715,1.0,EMEA,UAE,False,False,2024-05,2024-05-06/2024-05-12,Thursday,8
TKT-000094,2024-10-27 15:00:00,Chat,Booking Modification,Low,Agent_005,Team_Gamma,8.969621313033457,46.16135326731274,In Progress,,,Americas,Brazil,True,False,2024-10,2024-10-21/2024-10-27,Sunday,15
TKT-000095,2024-04-12 06:00:00,Chat,Refund Request,High,Agent_023,Team_Gamma,7.87501361195699,2.4007462180959904,Resolved,2024-04-12 08:24:02.686385,2.0,EMEA,UAE,True,True,2024-04,2024-04-08/2024-04-14,Friday,6
TKT-000096,2024-04-23 19:00:00,Email,Payment Issue,High,Agent_017,Team_Alpha,15.66308861544451,12.618682683606622,Resolved,2024-04-24 07:37:07.257661,3.0,APAC,Thailand,True,True,2024-04,2024-04-22/2024-04-28,Tuesday,19
TKT-000097,2024-12-05 18:00:00,Chat,Booking Modification,Medium,Agent_001,Team_Delta,3.6797282241912255,6.107862847297356,In Progress,,,EMEA,UK,True,True,2024-12,2024-12-02/2024-12-08,Thursday,18
TKT-000098,2024-07-29 16:00:00,Phone,Cancellation Request,Medium,Agent_021,Team_Delta,19.03714193913775,21.503317463461983,Resolved,2024-07-30 13:30:11.942868,4.0,Americas,USA,True,True,2024-07,2024-07-29/2024-08-04,Monday,16
TKT-000099,2024-12-03 22:00:00,Chat,Refund Request,High,Agent_009,Team_Alpha,42.34645060822953,10.746395718626005,Resolved,2024-12-04 08:44:47.024587,1.0,Americas,USA,False,True,2024-12,2024-12-02/2024-12-08,Tuesday,22
TKT-000100,2024-06-09 00:00:00,Phone,Cancellation Request,Medium,Agent_023,Team_Gamma,1.4001648800424555,47.14352953190617,In Progress,,,EMEA,UAE,True,False,2024-06,2024-06-03/2024-06-09,Sunday,0
TKT-000101,2024-02-12 20:00:00,Chat,Property Question,Low,Agent_017,Team_Delta,167.19435187667384,63.5464638493722,Resolved,2024-02-15 11:32:47.269858,3.0,APAC,India,False,False,2024-02,2024-02-12/2024-02-18,Monday,20
TKT-000102,2024-11-03 17:00:00,Chat,General Inquiry,Low,Agent_013,Team_Alpha,220.94545673555405,76.97186678581575,Resolved,2024-11-06 21:58:18.720429,3.0,APAC,Thailand,False,False,2024-11,2024-10-28/2024-11-03,Sunday,17
TKT-000103,2024-01-21 22:00:00,Chat,Cancellation Request,Medium,Agent_015,Team_Alpha,14.599352306102634,58.585525837924095,Resolved,2024-01-24 08:35:07.893017,4.0,APAC,Singapore,True,False,2024-01,2024-01-15/2024-01-21,Sunday,22
TKT-000104,2024-10-14 22:00:00,Chat,Property Question,High,Agent_021,Team_Alpha,3.625616503448786,5.464410576556443,In Progress,,,APAC,Japan,True,True,2024-10,2024-10-14/2024-10-20,Monday,22
TKT-000105,2024-10-16 02:00:00,Chat,Cancellation Request,High,Agent_008,Team_Delta,36.94498657658538,11.235735495872877,Resolved,2024-10-16 13:14:08.647785,4.0,APAC,Singapore,False,True,2024-10,2024-10-14/2024-10-20,Wednesday,2
TKT-000106,2024-07-06 00:00:00,Chat,Cancellation Request,Critical,Agent_008,Team_Beta,7.219653291113457,0.5275983876381762,Resolved,2024-07-06 00:31:39.354195,2.0,Americas,Brazil,True,True,2024-07,2024-07-01/2024-07-07,Saturday,0
TKT-000107,2024-01-09 14:00:00,Email,Technical Issue,High,Agent_002,Team_Beta,1.805093987844491,10.115749038029463,Resolved,2024-01-10 00:06:56.696537,2.0,APAC,India,True,True,2024-01,2024-01-08/2024-01-14,Tuesday,14
TKT-000108,2024-08-01 22:00:00,Chat,Account Access,Medium,Agent_023,Team_Beta,10.732839512399977,6.015028552999639,Resolved,2024-08-02 04:00:54.102791,3.0,EMEA,Germany,True,True,2024-08,2024-07-29/2024-08-04,Thursday,22
TKT-000109,2024-09-06 01:00:00,Email,Property Question,Medium,Agent_010,Team_Beta,43.702046894289055,65.46431736282258,In Progress,,,APAC,Japan,False,False,2024-09,2024-09-02/2024-09-08,Friday,1
TKT-000110,2024-11-17 17:00:00,Email,Refund Request,High,Agent_005,Team_Beta,8.15583578110405,3.6039399529465657,Resolved,2024-11-17 20:36:14.183831,4.0,EMEA,France,True,True,2024-11,2024-11-11/2024-11-17,Sunday,17
TKT-000111,2024-10-20 03:00:00,Social Media,Booking Modification,Medium,Agent_016,Team_Gamma,31.56889353159491,4.525115744578072,Resolved,2024-10-20 07:31:30.416680,3.0,APAC,Singapore,False,True,2024-10,2024-10-14/2024-10-20,Sunday,3
TKT-000112,2024-03-02 20:00:00,Social Media,Payment Issue,Medium,Agent_025,Team_Alpha,136.21800665671094,5.773206493488043,Resolved,2024-03-03 01:46:23.543377,5.0,APAC,Thailand,False,True,2024-03,2024-02-26/2024-03-03,Saturday,20
TKT-000113,2024-11-23 10:00:00,Email,Cancellation Request,Low,Agent_019,Team_Beta,65.41598746690336,9.953234672846559,Resolved,2024-11-23 19:57:11.644822,4.0,EMEA,France,False,True,2024-11,2024-11-18/2024-11-24,Saturday,10
